t,task_id,task_type,method,worker_id,model_id,request_id,success,failure_reason,format_ok,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,cost_source,cost_exact_usd,cost_fallback_usd,decomp_used,decomp_request_id,raw_output_path,planner_raw_output_path,timestamp
25,gsm8k_1279,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683489-7TPsGpbZhU9YAyyxS6Hw,1,ok,1,176,147,323,7630,2.7196e-05,usage_estimate,,2.7196e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0025_gsm8k_1279_solver.json,,1773683506
26,gsm8k_464,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683506-rlJHnfA4mNmAwkP3P4R6,1,ok,1,162,113,275,8403,2.2802e-05,usage_estimate,,2.2802e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0026_gsm8k_464_solver.json,,1773683523
27,gsm8k_320,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683524-SK9J0QHCbogFEbevpFdB,1,ok,1,147,200,347,7837,3.0437e-05,usage_estimate,,3.0437e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0027_gsm8k_320_solver.json,,1773683540
28,humaneval_HumanEval/48,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683540-7A44gliry10p7EEmBYKZ,1,ok,1,196,327,523,5115,0.001831,usage_estimate,,0.001831,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0028_humaneval_HumanEval_48_solver.json,,1773683554
29,gsm8k_1008,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683555-9aVaivtwXOYnS59lgUHG,1,ok,1,141,117,258,10581,2.1711e-05,usage_estimate,,2.1711e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0029_gsm8k_1008_solver.json,,1773683573
30,humaneval_HumanEval/61,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683574-5Z7kWGqvp4vRNbn9Nhiy,1,ok,1,210,417,627,4255,0.002295,usage_estimate,,0.002295,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0030_humaneval_HumanEval_61_solver.json,,1773683587
31,gsm8k_773,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683588-MmRQ8Im3nZ041xRM4DZh,1,ok,1,187,364,551,6183,0.002007,usage_estimate,,0.002007,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0031_gsm8k_773_solver.json,,1773683602
32,gsm8k_1006,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683603-ApmFZF8celNEAYbq8ym5,1,ok,1,206,138,344,3048,2.8426e-05,usage_estimate,,2.8426e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0032_gsm8k_1006_solver.json,,1773683614
33,gsm8k_826,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683614-HMW5AovDIoUdVxrtdCTk,1,ok,1,167,130,297,27177,2.4856999999999996e-05,usage_estimate,,2.4856999999999996e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0033_gsm8k_826_solver.json,,1773683650
34,gsm8k_1101,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683651-3NlMSYuosyjRrVjfViuN,1,ok,1,185,332,517,3558,0.001845,usage_estimate,,0.001845,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0034_gsm8k_1101_solver.json,,1773683663
35,gsm8k_938,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683664-Yg5aEAprX9R4YsVcSI9R,1,ok,1,161,194,355,6006,3.0831000000000003e-05,usage_estimate,,3.0831000000000003e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0035_gsm8k_938_solver.json,,1773683678
36,humaneval_HumanEval/118,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683679-NF1xlvSXTzReqJB0x2Fh,1,ok,1,281,716,997,7738,0.003861,usage_estimate,,0.003861,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0036_humaneval_HumanEval_118_solver.json,,1773683695
37,gsm8k_797,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683696-pzwULuTxpP9AYgyBzzwT,1,ok,1,164,130,294,6660,2.4643999999999996e-05,usage_estimate,,2.4643999999999996e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0037_gsm8k_797_solver.json,,1773683712
38,humaneval_HumanEval/119,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683712-kZhmr7fvM5iOFnW0EYhw,1,ok,1,250,1488,1738,8481,0.0037949999999999998,usage_estimate,,0.0037949999999999998,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0038_humaneval_HumanEval_119_solver.json,,1773683730
39,humaneval_HumanEval/70,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683730-GGm5CyTD95xBrbs0Q0Rf,1,ok,1,251,804,1055,6005,0.0042710000000000005,usage_estimate,,0.0042710000000000005,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0039_humaneval_HumanEval_70_solver.json,,1773683745
40,gsm8k_423,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683746-ClpQVN00Z1OcnzpOPmva,0,wrong_answer,1,210,3072,3282,38807,0.00032211,usage_estimate,,0.00032211,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0040_gsm8k_423_solver.json,,1773683793
41,humaneval_HumanEval/78,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683794-8HoPMx0VwP6gLpfFfHg7,1,ok,1,407,1145,1552,6338,0.0029846,usage_estimate,,0.0029846,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0041_humaneval_HumanEval_78_solver.json,,1773683809
42,gsm8k_1202,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683810-qh0nTFtcAFFfoNMdWwbU,1,ok,1,155,184,339,12978,2.9405e-05,usage_estimate,,2.9405e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0042_gsm8k_1202_solver.json,,1773683832
43,humaneval_HumanEval/29,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683832-O7pn6lyW8xiGecm0RDKi,1,ok,1,219,446,665,6596,0.0024490000000000002,usage_estimate,,0.0024490000000000002,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0043_humaneval_HumanEval_29_solver.json,,1773683848
44,gsm8k_109,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683848-6WtrXzxPwMO97jkkSEe4,0,wrong_answer,1,158,131,289,2715,2.4318e-05,usage_estimate,,2.4318e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0044_gsm8k_109_solver.json,,1773683864
45,gsm8k_405,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683868-YyoUIom82i3VzZfhLEyO,1,ok,1,191,166,357,13321,3.0160999999999998e-05,usage_estimate,,3.0160999999999998e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0045_gsm8k_405_solver.json,,1773683886
46,gsm8k_304,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683887-9smAHeK6YIkS6dZyrgBg,1,ok,1,156,166,322,3737,2.7675999999999997e-05,usage_estimate,,2.7675999999999997e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0046_gsm8k_304_solver.json,,1773683899
47,gsm8k_1136,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683900-KOm62EnjKL2aV4RapC0I,1,ok,1,146,144,290,4762,2.4766e-05,usage_estimate,,2.4766e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0047_gsm8k_1136_solver.json,,1773683912
48,gsm8k_130,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683913-UWWAbgyiKV1pAlMFk3KJ,1,ok,1,151,90,241,2042,1.9721e-05,usage_estimate,,1.9721e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0048_gsm8k_130_solver.json,,1773683923
49,gsm8k_1224,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683924-nNG0ltUoLLRk8S3kAFSW,1,ok,1,134,77,211,3399,1.7214e-05,usage_estimate,,1.7214e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0049_gsm8k_1224_solver.json,,1773683935
50,gsm8k_1052,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683936-XgbZbNNL4168ebNGTgZc,1,ok,1,171,149,320,2908,2.7041e-05,usage_estimate,,2.7041e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0050_gsm8k_1052_solver.json,,1773683947
51,gsm8k_1169,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683947-vrSBtdusA4U7Z0yzTjEp,1,ok,1,151,280,431,4558,3.8721e-05,usage_estimate,,3.8721e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0051_gsm8k_1169_solver.json,,1773683960
52,gsm8k_895,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683961-0WgelL7lWff3HkhRsMnu,1,ok,1,154,107,261,2174,2.1634e-05,usage_estimate,,2.1634e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0052_gsm8k_895_solver.json,,1773683972
53,humaneval_HumanEval/114,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683983-909vbHBqnHteEZYt79Zf,1,ok,1,481,1302,1783,8450,0.003044138,mixed,,0.003044138,1,gen-1773683972-Kv9MIwKaKGTsQkzEsJsa,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0053_humaneval_HumanEval_114_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0053_humaneval_HumanEval_114_planner.json,1773683998
54,humaneval_HumanEval/83,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683998-lEEWSUHQ6TbrdWo0JoDa,1,ok,1,160,1102,1262,9581,0.00567,usage_estimate,,0.00567,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0054_humaneval_HumanEval_83_solver.json,,1773684017
55,humaneval_HumanEval/60,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773684017-BWSZnGBGWXysyiCmBMPb,1,ok,1,189,754,943,4530,0.0019417,usage_estimate,,0.0019417,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0055_humaneval_HumanEval_60_solver.json,,1773684031
56,humaneval_HumanEval/18,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773684032-9Urlp0Fa99qEGHw4qibN,1,ok,1,215,595,810,5546,0.00319,usage_estimate,,0.00319,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0056_humaneval_HumanEval_18_solver.json,,1773684046
57,gsm8k_681,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684046-vogyU0OMHdRZD5OV81TI,1,ok,1,151,204,355,3800,3.1121e-05,usage_estimate,,3.1121e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0057_gsm8k_681_solver.json,,1773684059
58,gsm8k_816,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684059-2hnOo2CJ8H2f5BMygJFp,1,ok,1,133,86,219,3686,1.8043e-05,usage_estimate,,1.8043e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0058_gsm8k_816_solver.json,,1773684072
59,gsm8k_1046,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684072-DhBthukLZu8bQIqQBPiY,0,wrong_answer,1,134,1742,1876,87183,0.000183714,usage_estimate,,0.000183714,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0059_gsm8k_1046_solver.json,,1773684168
60,gsm8k_300,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684169-iOdBXNeOjKhQCZor0YJu,1,ok,1,153,78,231,8180,1.8663e-05,usage_estimate,,1.8663e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0060_gsm8k_300_solver.json,,1773684185
61,humaneval_HumanEval/147,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773684186-zH8MdSLOTuwi31PIinC0,1,ok,1,303,1083,1386,8874,0.005718,usage_estimate,,0.005718,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0061_humaneval_HumanEval_147_solver.json,,1773684204
62,humaneval_HumanEval/6,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773684204-dPod89801RFrMX4NskMV,1,ok,1,192,1050,1242,4289,0.0026826,usage_estimate,,0.0026826,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0062_humaneval_HumanEval_6_solver.json,,1773684217
63,gsm8k_221,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684218-AD1GaD4rWhaQUxQGyqIs,1,ok,1,158,119,277,2284,2.3117999999999998e-05,usage_estimate,,2.3117999999999998e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0063_gsm8k_221_solver.json,,1773684228
64,gsm8k_382,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684229-OxOe95WFc1SoQFruoq26,1,ok,1,146,176,322,5093,2.7966e-05,usage_estimate,,2.7966e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0064_gsm8k_382_solver.json,,1773684241
65,gsm8k_1066,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684242-V9BqTkDgN9lvVNflquB7,1,ok,1,138,191,329,11615,2.8898e-05,usage_estimate,,2.8898e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0065_gsm8k_1066_solver.json,,1773684262
66,gsm8k_1159,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684263-csIirKf4T9OxtCBa4wFA,1,ok,1,161,240,401,4222,3.5431e-05,usage_estimate,,3.5431e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0066_gsm8k_1159_solver.json,,1773684276
67,gsm8k_677,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684276-hzCDk55tci1faECwzqj2,1,ok,1,213,79,292,2650,2.3023e-05,usage_estimate,,2.3023e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0067_gsm8k_677_solver.json,,1773684288
68,gsm8k_1043,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773684288-RagpX80oNzgGqsMeKq7G,1,ok,1,185,265,450,4630,0.00151,usage_estimate,,0.00151,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0068_gsm8k_1043_solver.json,,1773684301
69,gsm8k_807,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684301-1bcuF2m4l4PbGi66Mrfx,1,ok,1,162,187,349,3302,3.0202e-05,usage_estimate,,3.0202e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0069_gsm8k_807_solver.json,,1773684313
70,humaneval_HumanEval/63,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773684313-Z5Lhz3uP3qMzGxx08Ck5,1,ok,1,228,986,1214,5956,0.0025334,usage_estimate,,0.0025334,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0070_humaneval_HumanEval_63_solver.json,,1773684328
71,humaneval_HumanEval/34,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773684329-r9ZNoXEYk5A8FblWzCWO,1,ok,1,149,554,703,3892,0.0014297,usage_estimate,,0.0014297,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0071_humaneval_HumanEval_34_solver.json,,1773684341
72,gsm8k_772,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773684342-S1pC10K9lnpQltfp8KCD,1,ok,1,174,195,369,11553,3.1854e-05,usage_estimate,,3.1854e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0072_gsm8k_772_solver.json,,1773684362
